Neighborhood,Total Crimes,Density,Average Income,Longitude,Latitude,location,point
Mount Pleasant East,413,"5,411","85,340",-79.382375,43.705844,"Mount Pleasant East, Frederick County, Maryland, 21793, United States","(39.4509353, -77.3149836, 0.0)"
Mount Pleasant West,1235,"21,969","57,039",-79.392987,43.704685,"Mount Pleasant West, Henry Lanum Memorial Trail, Alto, Amherst County, Virginia, United States","(37.7409538, -79.1714738, 0.0)"
New Toronto,841,"3,342","44,101",-79.509246826113,43.601428985571395,"New Toronto, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M8V 1J2, Canada","(43.6007625, -79.505264, 0.0)"
Newtonbrook East,1275,"3,926","45,212",-79.406951904213,43.79304122927171,"Newtonbrook Secondary School, 155, Hilda Avenue, North York, Willowdale, North York, Toronto, Ontario, M2M 1V6, Canada","(43.7938863, -79.4256790230105, 0.0)"
Newtonbrook West,1078,"5,070","34,904",-79.431732177713,43.7881813049717,"Newtonbrook Secondary School, 155, Hilda Avenue, North York, Willowdale, North York, Toronto, Ontario, M2M 1V6, Canada","(43.7938863, -79.4256790230105, 0.0)"
Niagara,1324,"10,156","70,623",-79.408336,43.636907,"Niagara County, New York, United States","(43.2042439, -78.7676017, 0.0)"
North Riverdale,514,"6,770","73,253",-79.345235,43.679473,"North Riverdale, Montgomery County, Ohio, 45405, United States","(39.7922804, -84.2102191, 0.0)"
O'Connor-Parkview,970,"3,780","43,907",-79.3067703247129,43.708721160871605,"Parkview Hills Car Spa, 796, O'Connor Drive, Woodbine Heights, Beaches—East York, East York, Toronto, Golden Horseshoe, Ontario, M4B 2S6, Canada","(43.7050419, -79.3135303, 0.0)"
Oakridge,1427,"7,444","26,793",-79.2791213989129,43.698829650871495,"Oakridge, Scarborough Southwest, Scarborough, Toronto, Golden Horseshoe, Ontario, M1L 3W5, Canada","(43.6971738, -79.2748232, 0.0)"
Oakwood Village,788,"9,511","39,803",-79.439880371013,43.688880920715704,"Oakwood Village, Clark County, Ohio, 45503, United States","(39.9672822, -83.7788168, 0.0)"
Old East York,600,"3,997","53,315",-79.337409,43.691494,"East York, Concord Road, Barwood, Springettsbury Township, York County, Pennsylvania, 17402-2658, United States","(39.96710015, -76.6747513278521, 0.0)"
Palmerston-Little Italy,788,"9,601","58,071",-79.419219970713,43.6595611572715,"Palmerston Avenue, Little Italy, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 2J3, Canada","(43.655854, -79.4101161, 0.0)"
Parkwoods-Donalda,1377,"4,691","42,516",-79.324970,43.753472,,
Pelmo Park-Humberlea,692,"2,547","39,003",-79.529266357413,43.7103500366716,"Pelmo Park Public School, 180, Gary Drive, Weston, York, York South—Weston, North York, Toronto, Ontario, M9N 2M1, Canada","(43.7121949, -79.517556398374, 0.0)"
Playter Estates-Danforth,709,"8,671","70,831",-79.355247497513,43.6801490783715,,
Pleasant View,421,"5,273","36,346",-79.3345336914129,43.7881202697717,"Pleasant View, Don Valley North, North York, Toronto, Golden Horseshoe, Ontario, M2J 3Y6, Canada","(43.787048, -79.3337137, 0.0)"
Princess-Rosethorn,363,"2,138","99,055",-79.545608520513,43.6653099060715,,
Regent Park,980,"16,880","34,597",-79.360313415513,43.6606903076715,"Regent Park, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 2B7, Canada","(43.6607056, -79.3604569, 0.0)"
Rexdale-Kipling,694,"4,229","34,418",-79.567199707013,43.724330907163704,"DUCA, 2184, Kipling Avenue, Kipling Heights, Etobicoke North, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9W 4K9, Canada","(43.72211415, -79.5722924470802, 0.0)"
Rockcliffe-Smythe,1227,"4,414","34,059",-79.488647460913,43.6752815246715,,
Roncesvalles,1416,"9,851","50,580",-79.442687988213,43.6442718505715,"Roncesvalles, Tolima, Colombia","(4.10391495, -75.5899419424823, 0.0)"
Rosedale-Moore Park,1628,"4,500","207,903",-79.379371643013,43.6819114685715,"Moore Park, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4T 1C7, Canada","(43.6903876, -79.3832965, 0.0)"
Rouge,1940,"1,260","39,556",-79.17404937741291,43.8076591497177,"La Rouge, Val-au-Perche, Mortagne-au-Perche, Orne, Normandie, France métropolitaine, 61260, France","(48.2837103, 0.705539012148501, 0.0)"
Runnymede-Bloor West Village,535,"6,333","71,888",-79.486686706513,43.662460327171495,"Runnymede, Runnymede Road, High Park North, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada","(43.6517026, -79.4759978, 0.0)"
Rustic,712,"4,734","31,800",-79.49723052971301,43.712490081771605,"Le Rustic, Lorient, Morbihan, Bretagne, France métropolitaine, 56530, France","(47.779893, -3.4348784, 0.0)"
Scarborough Village,1241,"5,395","32,913",-79.21691894531291,43.7385215759716,"Scarborough Village, Scarborough—Guildwood, Scarborough, Toronto, Golden Horseshoe, Ontario, M1J 3M5, Canada","(43.7437422, -79.2116324, 0.0)"
South Parkdale,1272,"9,583","35,207",-79.432540893513,43.6378784179714,"South Parkdale, Parkland County, Alberta, Canada","(53.4782822, -113.928310732473, 0.0)"
South Riverdale,1949,"3,136","53,803",-79.3525936,43.6654704,"Riverdale, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1Y2, Canada","(43.6654704, -79.3525936, 0.0)"
St.Andrew-Windfields,916,"2,430","100,516",-79.385051,43.754997,,
Steeles,687,"5,436","31,786",-79.3145378,43.8161778,"Steeles, Scarborough—Agincourt, Scarborough, Toronto, Golden Horseshoe, Ontario, M1W 3M9, Canada","(43.8161778, -79.3145378, 0.0)"
Stonegate-Queensway,942,"3,199","64,140",-79.481857,43.631260,"Queensway, Higham Ferrers, East Northamptonshire, Northamptonshire, East Midlands, England, NN10 8BU, United Kingdom","(52.304344, -0.5920399, 0.0)"
Tam O'Shanter-Sullivan,1016,"5,073","34,200",-79.299789,43.780623,,
Taylor-Massey,853,"15,528","30,430",-79.2661943,43.7240387,"Taylor-Massey Creek, Scarborough, Toronto, Ontario, M1K 3G2, Canada","(43.7240387, -79.2661943, 0.0)"
